20170706 00:00:00,291088,291088,290220,290629
20170706 00:05:00,290629,290720,290499,290499
20170706 00:10:00,290499,290699,290101,290426
20170706 00:15:00,290427,290655,290200,290389
20170706 00:20:00,290221,290430,290129,290350
20170706 00:25:00,290350,290471,290200,290498
20170706 00:30:00,290499,290680,290489,290680
20170706 00:35:00,290680,290900,290660,290837
20170706 00:40:00,290838,291240,290837,291240
20170706 00:45:00,291300,291610,290943,291534
20170706 00:50:00,291535,291840,291250,291840
20170706 00:55:00,291840,291850,291433,291544
20170706 01:00:00,291597,291999,291597,291999
20170706 01:05:00,291638,292082,291620,292039
20170706 01:10:00,292039,292210,291824,291790
20170706 01:15:00,291790,292300,291790,292120
20170706 01:20:00,292120,292300,291985,292258
20170706 01:25:00,292258,292272,291780,292250
20170706 01:30:00,292250,292780,292250,292651
20170706 01:35:00,292800,292999,292540,292540
20170706 01:40:00,292540,292600,292530,292350
20170706 01:45:00,292350,292350,292029,292029
20170706 01:50:00,292029,292499,291960,292500
20170706 01:55:00,292500,292529,292167,292197
20170706 02:00:00,292198,292201,291896,292200
20170706 02:05:00,292200,292267,292040,292040
20170706 02:10:00,292040,292040,291500,291678
20170706 02:15:00,291844,292010,291754,292019
20170706 02:20:00,292039,292040,291696,291696
20170706 02:25:00,291695,292019,291441,291506
20170706 02:30:00,291451,291900,291400,291842
20170706 02:35:00,291869,291983,291686,292010
20170706 02:40:00,291978,292180,291785,291841
20170706 02:45:00,292075,292710,292075,292965
20170706 02:50:00,292965,293019,292741,292749
20170706 02:55:00,292748,293000,292590,292910
20170706 03:00:00,292910,292980,292481,292980
20170706 03:05:00,292980,293102,292781,292790
20170706 03:10:00,292790,293529,292790,293389
20170706 03:15:00,293389,293390,293037,293361
20170706 03:20:00,293520,293596,292900,292880
20170706 03:25:00,292880,293108,292790,292913
20170706 03:30:00,292913,293520,292762,293540
20170706 03:35:00,293541,293800,293520,293800
20170706 03:40:00,293800,293870,293382,293418
20170706 03:45:00,293419,293704,293290,293301
20170706 03:50:00,293290,293700,293212,293350
20170706 03:55:00,293363,293500,293101,293476
20170706 04:00:00,293500,293500,292748,292964
20170706 04:05:00,292965,293050,292965,293390
20170706 04:10:00,292965,293050,292965,293390
20170706 04:15:00,293390,293620,293245,293620
20170706 04:20:00,293549,293800,293223,293590
20170706 04:25:00,293588,293700,293190,293378
20170706 04:30:00,293349,293600,293244,293600
20170706 04:35:00,293630,293785,293300,293734
20170706 04:40:00,293735,293850,293591,293857
20170706 04:45:00,293652,294770,293480,294769
20170706 04:50:00,294770,295419,294600,295109
20170706 04:55:00,295109,295420,294951,295094
20170706 05:00:00,295194,295239,294933,294932
20170706 05:05:00,294932,295159,294454,294455
20170706 05:10:00,294454,294455,294204,294431
20170706 05:15:00,294431,294840,294300,294898
20170706 05:20:00,294898,295150,294800,295100
20170706 05:25:00,295099,295200,294909,295200
20170706 05:30:00,295200,295360,294795,295360
20170706 05:35:00,295187,295210,294900,295000
20170706 05:40:00,295000,295550,294900,295501
20170706 05:45:00,295501,295720,295422,295700
20170706 05:50:00,295720,295800,295400,295702
20170706 05:55:00,295610,295610,295300,295280
20170706 06:00:00,295300,295410,295000,295292
20170706 06:05:00,295292,295393,294968,295189
20170706 06:10:00,295189,295204,295075,295174
20170706 06:15:00,295189,295189,294607,294650
20170706 06:20:00,294650,294754,293476,293600
20170706 06:25:00,293600,294170,293000,294000
20170706 06:30:00,294000,294019,293537,293465
20170706 06:35:00,293522,293522,292480,292530
